Translate this word : array,транспьютер,войти,архив,массив,4
Translate this word : pointer,цикл,оборудование,указатель,операционная система,3
Translate this word : loop,вредоносное ПО,цикл,прикладное ПО,интерактивный,2
Translate this word : append,добавлять,вычисление,пользовательский интерфейс,инженерия,1
Translate this word : transputer,добавлять,графика,ссылка,транспьютер,4
Translate this word : debugging,зашифровать,отладка,интернет,решение,2
Translate this word : computerize,декоратор,библиотека,автоматизировать,ключ,3
Translate this word : cellular,мобильный,машинный код,прибор,выпуск,1
Translate this word : executable,синяя печать,процессор,исполняемый,объединение,3
Translate this word : recursion,расширенный,рекурсия,утилита,схема,2
Translate this word : computable,вычислимый,антивирус,изображение,значок,1
Translate this word : malware,позволить,антивирус,вредоносное ПО,схема,3
Translate this word : spyware,прошивка,виртуальный,предпринимательство,шпионское ПО,4
Translate this word : firmware,хакатон,прошивка,инструмент,отражение,2
Translate this word : reusability,повторное использование,программа,анимация,ввод,1
Translate this word : configure,цель,оборудование,настроить,инженерия,3
Translate this word : decorator,массив,декоратор,техника,изображение,2
Translate this word : metaprogramming,двоичный,интернет,метапрограммирование,мисклик,3
Translate this word : incrementor,учебный план,компьютерная программа,программирование,увеличение,4
Translate this word : hackathon,хакатон,процессор,данные,разрабатывать,1
Translate this word : curriculum,мобильный,учебный план,хост,изображение,2
Translate this word : hacking,автоматизировать,сервер,сеть,хакинг,4
Translate this word : blueprint,шифрование,синяя печать,печатание,команда,2
Translate this word : binary,хакинг,алгоритм,двоичный,отражение,3
Translate this word : expanded,метапрограммирование,расширенный,войти,ключ,2
Translate this word : aim,вычислимый,пользователь,цель,вывод,3
Translate this word : encryption,повторное использование,интернет,защита,шифрование,4
Translate this word : encipher,зашифровать,бизнес,публикация,разрабатывать,1
Translate this word : permit,рекурсия,устройство,позволить,источник,3
